acto;nome;tipo;ambito_geografico;primeiro_ano;ultimo_ano;n_publicacoes;n_organizacoes;codigos_organizacoes
312;CCT ANILT-AS  NAC  IND  LAVANDARIAS E TINT / SITESC-SIND. TRAB. ESCRITÓRIO SERVIÇOS E  COMÉRCIO;Contrato coletivo de trabalho;Nacional;1998;2003;61;17;1.133.1 1.152.1 1.248.3 1.31.1 1.31.2 2.10.3 2.15.2 2.20.2 2.21.1 2.23.2 2.26.1 2.33.0 2.39.0 2.4.1 2.40.0 2.6.4 5.69.0
317;CCT PARA O SECTOR TÊXTIL;Contrato coletivo de trabalho;Nacional;1980;1998;181;66;1.118.0 1.123.0 1.130.0 1.131.0 1.132.0 1.143.0 1.143.1 1.144.1 1.145.1 1.152.0 1.152.1 1.157.0 1.157.1 1.157.2 1.180.1 1.225.0 1.225.1 1.233.0 1.233.1 1.237.1 1.241.0 1.248.1 1.248.2 1.248.3 1.250.0 1.271.0 1.284.0 1.296.0 1.299.0 1.318.0 1.5.1 1.5.3 1.502.0 1.81.0 1.96.0 2.10.1 2.10.2 2.10.3 2.15.1 2.15.2 2.20.0 2.20.1 2.20.2 2.21.0 2.21.1 2.23.0 2.23.1 2.23.2 2.3.1 2.3.2 2.33.0 2.4.1 2.6.2 2.6.3 2.6.4 5.102.0 5.102.1 5.103.0 5.161.0 5.161.1 5.183.0 5.29.0 5.324.0 5.324.1 5.362.1 5.58.0
327;ACT OLARIAS DE BARRO VERMELHO E GRÉS DECORATIVO- ALTERAÇÃO SALARIAL E OUTRA E TEXTO CONSOLIDADO;Acordo coletivo de trabalho;Pluridistrital;2004;2007;8;3;2.12.2 2.15.2 2.46.0
328;CCT ANF-ASSOC. NAC. DAS FARMÁCIAS E O SINPROFARM - SINDICATO NACIONAL  DOS PROFISSIONAIS DE FARMÁCIA EE OUTROS - ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2008;23;8;1.133.1 1.133.2 1.229.1 1.84.1 1.84.2 2.26.1 5.100.0 5.100.1
338;CCT CELEBRADO ENTRE A ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE MATERIAIS DE CONSTRUÇÃO E O SITESC-SINDICATO DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO E OUTROS-ALTERAÇÃO SALARIAL E OUTRA.;Contrato coletivo de trabalho;Nacional;2000;2003;50;10;1.104.2 1.133.1 1.143.1 1.157.2 1.222.2 1.84.1 2.15.2 2.6.4 5.80.1 5.99.1
4100;CCT ENTRE A ASSOCIAÇÃO DOS BARBEIROS E CABELEIREIROS DO DISTRITO DE BRAGA E O SINDPAB - SINDICATO DOS PROFISSIONAIS DE PENTEADO, ARTE E BELEZA - ALTERAÇÃO SALARIAL;Contrato coletivo de trabalho;Distrital;2003;2003;2;2;1.263.1 5.216.0
4337;CCT ANIL - ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE LACTICÍNIOS E VÁRIAS COOPERATIVAS DE PRODUTORES DE LEITE/FETESE-FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS;Contrato coletivo de trabalho;Nacional;2001;2002;8;5;1.133.1 1.84.1 2.26.1 2.6.4 5.44.2
4370;CCT ASSOC. DOS IND. DE BOLACHAS E AFINS E OUTRAS / FETESE - FEDER. DOS SIND. DOS TRAB. DE ESCRITÓRIO E SERVIÇOS E OUTROS (DIST. DO PORTO E AVEIRO);Contrato coletivo de trabalho;Pluridistrital;1976;1992;118;22;1.125.0 1.133.0 1.133.1 1.207.1 1.222.2 1.241.0 1.281.2 2.2.1 2.26.0 2.29.2 2.6.3 2.6.4 5.106.0 5.11.0 5.12.0 5.30.0 5.329.0 5.484.0 5.485.0 5.65.0 5.9.0 6.6.0
4432;ASS. PORTUG. GROSSISTAS TÊXTEIS / FEPCES OUTROS;Contrato coletivo de trabalho;Nacional;1977;2005;246;49;1.108.0 1.123.0 1.130.0 1.131.0 1.131.1 1.132.0 1.133.0 1.133.1 1.133.2 1.152.0 1.204.1 1.210.0 1.218.0 1.222.1 1.222.2 1.235.0 1.241.0 1.248.0 1.248.1 1.248.2 1.248.3 1.248.4 1.271.0 1.281.2 1.284.0 1.49.0 1.548.0 1.548.1 1.66.0 1.84.0 1.84.1 1.84.2 1.87.1 2.15.0 2.15.1 2.15.2 2.2.0 2.2.1 2.26.0 2.26.1 2.4.0 2.4.1 2.6.0 2.6.2 2.6.3 2.6.4 5.102.2 5.67.0 5.67.1
4441;CCT ASSOC. DOS IND. DE MOAGEM DO SUL, ASSOC. DOS IND. DE MOAGEM DO CENTRO, ASSOC. NACIONAL DOS IND. ARROZ, ASSOC. PORT. DOS IND. DE ALIMENT. COMP. PARA ANIMAIS, ASSOC. DOS IND. MASSAS ALIMENTÍCIAS, BOL., E CHOCOLATES / SIND. DOS TRAB. DAS IND. QUÍMICAS DO CENTRO, SUL E ILHAS E MOAGEM DO CENTRO SUL;Contrato coletivo de trabalho;Pluridistrital;1977;2003;259;24;1.30.0 1.30.1 1.355.1 1.359.0 1.360.0 2.22.1 2.29.0 2.29.1 2.29.2 2.29.3 2.29.4 2.32.0 2.40.0 5.11.0 5.262.0 5.263.0 5.329.0 5.446.0 5.446.1 5.484.0 5.485.0 5.65.0 5.9.0 6.6.0
4458;CCT ENTRE A ANAP - ASSOCIAÇÃO NACIONAL DOS ARMAZENISTAS DE PAPEL E A FEPCES- FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Nacional;2000;2006;54;13;1.133.1 1.133.2 1.248.3 1.248.4 1.548.0 1.548.1 1.84.1 1.84.2 2.15.2 2.26.1 2.32.0 2.6.4 5.137.0
4464;CCT ASSOC. LIVRE DOS IND. PELO FRIO/SIND. REPRESENTATIVOS DE TRABALHADORES AO SERVIÇO DE EMPRESAS QUE SE DEDICAM À IND. DE CONSERVAS DE PEIXE E OUTROS PRODUTOS ALIMENTARES PELO FRIO;Contrato coletivo de trabalho;Nacional;1977;2003;236;60;1.108.0 1.123.0 1.130.0 1.131.0 1.131.1 1.132.0 1.133.0 1.133.1 1.14.0 1.144.0 1.145.0 1.152.0 1.197.0 1.204.1 1.206.1 1.210.0 1.218.0 1.222.1 1.235.0 1.237.0 1.241.0 1.248.0 1.248.1 1.25.0 1.271.0 1.281.2 1.284.0 1.299.0 1.31.0 1.31.1 1.41.0 1.49.0 1.5.0 1.548.1 1.66.0 1.84.0 1.84.1 1.87.0 2.15.0 2.15.1 2.15.2 2.2.0 2.2.1 2.21.0 2.26.0 2.26.1 2.27.0 2.29.0 2.29.1 2.29.2 2.32.0 2.4.0 2.4.1 2.6.0 2.6.1 2.6.2 2.6.3 2.6.4 5.241.0 5.241.1
4466;CCT - ENTRE A ASSOC. COMERCIAL E INDUSTRIAL DE COIMBRA E O SIND. DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE COIMBRA;Contrato coletivo de trabalho;Distrital;1977;1998;83;6;1.195.0 1.391.0 1.58.0 2.26.0 5.188.0 5.66.0
