nome;ambito;fonte;data;responsavel
CARRIS - Companhia Carris de Ferro de Lisboa, E. M.;SPE;regra ", EM" confirmada — empresa municipal de Lisboa;2026-09-16;semente
CARRISTUR - Inovação em Transportes Urbanos e Regionais;SPE;participada da CARRIS, E.M.;2026-09-16;semente
Metropolitano de Lisboa, E. P. E.;SPE;empresa pública empresarial;2026-09-16;semente
EPAL - Empresa Portuguesa das Águas Livres;SPE;grupo Águas de Portugal, capitais públicos;2026-09-16;semente
Águas de Portugal;SPE;SGPS de capitais públicos;2026-09-16;semente
RTP - Rádio e Televisão de Portugal;SPE;sociedade anónima de capitais públicos;2026-09-16;semente
CP - Comboios de Portugal, E. P. E.;SPE;empresa pública empresarial;2026-09-16;semente
Infraestruturas de Portugal;SPE;sociedade anónima de capitais públicos;2026-09-16;semente
STCP - Sociedade de Transportes Colectivos do Porto;SPE;empresa municipal do Porto;2026-09-16;semente
Empresa Metropolitana de Estacionamento da Maia;SPE;empresa municipal da Maia;2026-09-16;semente
