nome;sinal;subsetor;subsetor_nome;forma_empresarial;fonte;ano
Caixa Geral de Aposentações;APU;S.13111;Administração Central;nao;INE S.13 2025;2025
Estado;APU;S.13111;Administração Central;nao;INE S.13 2025;2025
Serviços Integrados do Estado;APU;S.13111;Administração Central;nao;INE S.13 2025;2025
ADSE - Instituto de Proteção e Assistência na Doença, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
AICEP Portugal Global - Agência para o Investimento e Comércio Externo de Portugal, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
ANAC - Autoridade Nacional da Aviação Civil;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
ANACOM - Autoridade Nacional de Comunicações;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
ANI - Agência Nacional de Inovação, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
AdC - Autoridade da Concorrência;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Central do Sistema de Saúde, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Regional de Saúde do Alentejo, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Regional de Saúde do Algarve, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Regional de Saúde do Centro, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Administração Regional de Saúde do Norte, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência Nacional para a Gestão do Programa Erasmus + Educação e Formação;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência Nacional para a Gestão do Programa Erasmus + Juventude em Ação;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência Nacional para a Qualificação e o Ensino Profissional, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência Portuguesa do Ambiente, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência para a Gestão do Sistema Educativo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência para a Integração, Migrações e Asilo, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência para a Reforma Tecnológica do Estado, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência para o Clima, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Agência para o Desenvolvimento e Coesão, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Arsenal do Alfeite, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Assembleia da República;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Autoridade Nacional de Emergência e Proteção Civil;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Autoridade da Mobilidade e dos Transportes;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
AveiroPolis - Sociedade para o Desenvolvimento do Programa Polis em Aveiro, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Banif - Banco Internacional do Funchal, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Banif Imobiliária, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
CCDR Alentejo - Comissão de Coordenação e Desenvolvimento Regional do Alentejo, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
CCDR Algarve - Comissão de Coordenação e Desenvolvimento Regional do Algarve, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
CCDR Centro - Comissão de Coordenação e Desenvolvimento Regional do Centro, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
CCDR LVT - Comissão de Coordenação e Desenvolvimento Regional de Lisboa e Vale do Tejo, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
CCDR Norte - Comissão de Coordenação e Desenvolvimento Regional do Norte, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Camões - Instituto da Cooperação e da Língua, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Cinemateca Portuguesa - Museu do Cinema, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Cofre Privativo do Tribunal de Contas - Açores;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Cofre Privativo do Tribunal de Contas - Madeira;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Cofre Privativo do Tribunal de Contas - Sede;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Cofre de Previdência da Polícia de Segurança Pública;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Comissão Nacional de Proteção de Dados;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Comissão para o Acompanhamento dos Auxiliares de Justiça;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Conselho Superior da Magistratura;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Conselho Superior dos Tribunais Administrativos e Fiscais;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Conselho das Finanças Públicas;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Consest - Promoção Imobiliária, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Construção Pública, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
CostaPolis, Sociedade para o Desenvolvimento do Programa Polis na Costa da Caparica, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Direção Executiva do Serviço Nacional de Saúde, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
EAS - Empresa Ambiente na Saúde - Tratamento de Resíduos Hospitalares, Unipessoal, Lda.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
EDIA - Empresa de Desenvolvimento e Infra-estruturas do Alqueva, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
ENSE – Entidade Nacional para o Setor Energético;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
