estado;ordem;quem;entra_quando;sai_quando
recolhido;1;tecnico de recolha;o PDF existe em 1_fontes/irct/ e tem linha no catálogo;a APP extrai o texto
extraido;2;APP;existe .md ou .txt em 2_processamento/texto/;a APP corre a pré-codificação
precodificado;3;APP;existe .precod.md em 2_processamento/precodificado/;o documento entra num lote QDPX
empacotado;4;APP;o documento consta de um .qdpx em 2_processamento/qdpx/;o lote é importado no MAXQDA
em_validacao;5;tecnico por tema;o lote está importado e atribuído a alguém;o técnico exporta o .mqex
validado;6;tecnico por tema;existe .mqex em 3_analise/mqex/;o responsável de integração o integra no master
integrado;7;responsavel de integracao;consta do log de integração e o .mqex foi para 9_arquivo/;a coordenação gera a entrega por tema
exportado;8;coordenacao;existe XLSX do tema em 4_temas/{TEMA}/;a perita entrega o capítulo
nao_processavel;-;tecnico de recolha;âmbito APU, ou tipo fora do universo do RNC;só muda se o âmbito for corrigido
por_resolver;-;tecnico de recolha;o script emitiu aviso que ninguém resolveu;alguém resolve e regista a decisão
