sigla;n_organizacoes;n_linhagens;denominacoes;resolucao
ACE;2;2;ASSOCIAÇÃO COMERCIAL DE ESPINHO E OUTROS CONCELHOS DA REGIÃO NORTE E CENTRO | ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ABRANTES, CONSTANCIA, S.A.RDOAL, MAÇÃO E VILA DE REI;
ACIS;3;2;ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E DE SERVIÇOS DOS CONCELHOS DE TORRES NOVAS, ENTRONCAMENTO, ALCANENA E GOLEGÃ | ASSOCIAÇÃO EMPRESARIAL BEIRA ALTA | ASSOCIAÇÃO EMPRESARIAL DE TORRES NOVAS, ENTRONCAMENTO, ALCANENA E GOLEGÃ;
AEP;2;2;ASSOCIAÇÃO EMPRESARIAL DE PENAFIEL | TICET - ASSOCIAÇÃO EMPRESARIAL DE PORTUGAL DOS AGENTES DE SERVIÇOS DAS TECNOLOGIAS DE INFORMAÇÃO COMUNICAÇÃO ENERGÉTICOS E TELECOMUNICAÇÕES;
AES;3;2;ASSOCIAÇÃO DE EMPRESAS DE SEGURANÇA | ASSOCIAÇÃO EMPRESARIAL DE SINES | ASSOCIAÇÃO EMPRESARIAL DE SINES;
AGENTESNAVEGACAO;3;2;ASSOCIAÇÃO DOS AGENTES DE NAVEGAÇÃO DO CENTRO DE PORTUGAL | ASSOCIAÇÃO DOS AGENTES DE NAVEGAÇÃO DO NORTE DE PORTUGAL | ASSOCIAÇÃO DOS AGENTES DE NAVEGAÇÃO DO PORTO E LEIXÕES;
AGRICOLASDISTRITO;8;8;SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE BEJA | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE BRAGANÇA | SINDICATO DOS TRABALHADORES AGRICOLAS DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE FARO | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE VILA REAL | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DE VISEU | SINDICATO DOS TRABALHADORES AGRÍCOLAS DO DISTRITO DO PORTO;
AGRICOLASSUL;2;2;FEDERAÇAO DOS SINDICATOS DOS TRABALHADORES AGRÍCOLAS DO SUL | FEDERAÇAO DOS SINDICATOS DOS TRABALHADORES AGRICOLAS DO SUL;
AGRICULTORES;4;2;ASSOCIAÇÃO DOS AGRICULTORES DOS CONCELHOS DE ABRANTES, CONSTÂNCIA, S.A.RDOAL E MAÇÃO | ASSOCIAÇÃO DOS AGRICULTORES DOS CONCELHOS DE ABRANTES, CONSTÂNCIA, S.A.RDOAL E MAÇÃO | ASSOCIAÇÃO DOS AGRICULTORES RENDEIROS DOS DISTRITO DE LISBOA E SANTAREM | ASSOCIAÇÃO DOS AGRICULTORES-RENDEIROS DOS CONCELHOS DE VILA FRANCA DE XIRA, BENAVENTE E SALVATERRA DE MAGOS;
AGRICULTORESCONCELHO;4;4;ASSOCIAÇÃO DOS AGRICULTORES DO CONCELHO DE AZAMBUJA | ASSOCIAÇÃO DOS AGRICULTORES DO CONCELHO DE MAFRA | ASSOCIAÇÃO DOS AGRICULTORES DO CONCELHO DE SERPA | ASSOCIAÇÃO DOS AGRICULTORES DO CONCELHO DE VILA REAL;
AGRICULTORESDISTRITO;2;2;ASSOCIAÇÃO DE AGRICULTORES DO DISTRITO DE ÉVORA | ASSOCIAÇÃO DOS AGRICULTORES DO DISTRITO DE SETÚBAL;
