codigo_dgert;denominacao;sigla;sigla_base;origem_sigla;tipo;lado;concelho;distrito;estado_registo;primeira_atividade;ultima_atividade
5.492.0;(APERF) ASSOCIAÇÃO PORTUGUESA DE EMPRESAS DE CONSULTORIA EM RECURSOS HUMANOS E FORMAÇÃO;APERF;APERF;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Extinta;1995-03-15;2013-04-08
5.554.0;A.A.N.P. - ASSOCIAÇÃO DOS AGENTES DE NAVEGAÇÃO DE PORTUGAL;AANP;AANP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2004-11-15;2015-11-15
5.246.4;A.C.I.M. - ASSOCIAÇÃO DOS COMERCIANTES, INDÚSTRIAIS E PRESTADORES DE SERVIÇOS DO CONCELHO DE MONCORVO;ACIM;ACIM;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;TORRE DE MONCORVO;BRAGANÇA;Activa;2021-06-08;2024-05-22
5.563.1;A.E.R - ASSOCIAÇÃO EMPRESARIAL DE RESENDE;AER;AER;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;RESENDE;VISEU;Activa;2024-06-08;2025-07-08
5.606.0;ADI-PME - ASSOCIAÇÃO PARA O DESENVOLVIMENTO E INOVAÇÃO NAS PEQUENAS E MÉDIAS EMPRESAS;ADIPME;ADIPME;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PORTO;PORTO;Activa;2014-02-17;2015-02-08
5.119.2;ÁGUAS MINERAIS E DE NASCENTE DE PORTUGAL;APIAM;APIAM;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2019-05-22;2019-05-22
5.3.2;AI NAVAIS - ASSOCIAÇÃO DAS INDÚSTRIA NAVAIS;AINAVAIS;AINAVAIS;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2009-04-24;2025-11-08
5.179.0;APECOPSAASSOCIAÇÃO DE PEQUENOS EMPREITEIROS DA CONSTRUÇAO CIVIL E OBRAS PÚBLICAS DE SETÚBAL E ALENTEJO;APECOPSA;APECOPSA;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SEIXAL;SETÚBAL;Extinta;1999-03-08;2026-03-22
5.225.0;ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DO CONCELHO DO FUNDÃO;COMERCIALINDUSFundao;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;FUNDÃO;CASTELO BRANCO;Activa;1977-07-08;2007-04-08
5.141.1;ASSOCIAÇÃO AUTOMÓVEL DE PORTUGAL;ACAP;ACAP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2007-08-15;2025-04-22
