# INCOMPLETO — ver docs/rnc/README.md §6 e §10, tarefa 3.
# Só estão preenchidas as linhas que se podem sustentar com o que existe no
# projeto: o tema 4.08, que tem codebook e validação, e os quatro códigos
# europeus citados no documento de transição. Os restantes macro temas
# (C2 a C8, C11) e o mapeamento dos pontos 4.5 a 4.20 têm de ser copiados do
# plano_transicao_livro_codigos_europeu.xlsx — não se inventam aqui.
codigo_roteiro;descricao_roteiro;codigo_europeu;nivel;ativo_em;perita_responsavel;codebook
4.08;Direitos de personalidade e proteção de dados;;2;2025+2026;;codebooks/4_08_protecao_dados.yaml
4.08.1;Dignidade, honra e reserva da vida privada;;3;2025+2026;;
4.08.2;Videovigilância e controlo de instalações;;3;2025+2026;;
4.08.3;Testes e exames médicos;;3;2025+2026;;
4.08.4;Dados pessoais e consentimento;;3;2025+2026;;
4.08.5;Meios de comunicação e controlo à distância;;3;2025+2026;;
4.08.6;Direito à desconexão;;3;2025+2026;;
;;C1_PROFISSOES;2;;;
;;C9_SALARIOS;2;;;
;;C10_TEMPO_TRAB;2;;;
;;C12_TECNOLOGIA_VERDE;2;;;
